Title,Authors,URL,1_ML_Algorithm,1_Detection_domain,1_Open_source,1_Safety/security,2_Training_data,2_Anomaly_generation,Injected,2_Data_size,2_Collection_date,2_AV_level,3_Testing_metrics,3_Detection_latency,Dataset,Simulation,Comments,Links,Performance,,
Exploring Inherent Sensor Redundancy for Automotive Anomaly Detection,"He, Tianjia and Zhang, Lin and Kong, Fanxin and Salekin, Asif",https://asalekin.github.io/doc/DAC2020_anomaly_detection.pdf,Autoencoder,Vehicle Sensors,NA,Security,Real-world,Randomly inserted by the author. Dataset without anomalies is called AEGIS. ,Random injections,25 anomalous data in a 500 seconds time series with a total of 10000 entries.,NA,NA,"MSE, MSLE, MAE",NA,AEGIS,NA,,,,,
Context-Aware Anomaly Detector for Monitoring Cyber Attacks on Automotive CAN Bus,"Kalutarage, Harsha Kumara and Al-Kadri, M. Omar and Cheah, Madeline and Madzudzo, Garikayi",https://doi.org/10.1145/3359999.3360496,Maximum Likelihood Estimator with N-grams,CAN,NA,Security,Real-world,The dataset was constructed by logging CAN traffic from a real vehicle while message injection attacks were performed.,Attacking while recording the log,"300 intrusions, each intrusion lasts 3-5 seconds, and each dataset has 30-40 min of CAN traffic.",NA,NA,Accuracy,100ms,OTIDS,NA,,,Gear: A 1. RPM: A 1,,
Sec-IoV: A Multi-Stage Anomaly Detection Scheme for Internet of Vehicles,"Garg, Sahil and Kaur, Kuljeet and Kaddoum, Georges and Gagnon, François and Kumar, Neeraj and Han, Zhu",https://doi.org/10.1145/3331052.3332476,Cauchy-Artificial Bee Colony,IoV,NA,Security,Simulation,The dataset was constructed by the authors from V2V communication. ,NA,"10,000 iterations of simulation",NA,NA,"Recall, FPR, Accuracy",NA,NA,"OMNET+, SUMO",,,,,
Towards a CAN IDS Based on a Neural Network Data Field Predictor,"Pawelec, Krzysztof and Bridges, Robert A. and Combs, Frank L.",https://doi.org/10.1145/3309171.3309180,"Recurrent Neural Network, Long Short-Term Memory",CAN,NA,Security,Real-world,Injected CAN frames to emulate attacks on the CAN. ,Random injections,NA,NA,NA,NA,NA,NA,NA,,,,,
Distributed online Data Anomaly Detection for connected vehicles,N. Negi and O. Jelassi and H. Chaouchi and S. Clemençon,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9065280,Long Short-Term Memory,Vehicle Sensors,NA,Both,Both,Sensor malfunction and data with different content from the normal sensor readings were injected,Random injections,NA,NA,NA,"Recall, FPR, FTR",NA,NA,Treadmill based autonomous car simulator,,https://uwaterloo.ca/embedded-software-group/projects/adas-treadmill-demonstrator,,,
Anomaly detection in recorded CAN log using DBSCAN and LSTM Autoencoder,Chandralekha and C. H M and N. P S and S. P. P S and M. K. Ghosh,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9971885,"Density-Based Spatial Clustering of Applications with Noise, Long Short-Term Memory",CAN,NA,Both,Simulation,The anomalies are manually introduced into the collected data for testing the models,Random injections,18 min,NA,NA,"Accuracy, F1 score, Recall,  Precision",NA,NA,Testbed,,,,,
Non-Compression Auto-Encoder for Detecting Road Surface Abnormality via Vehicle Driving Noise,Y. Park and J. Jung,https://arxiv.org/pdf/2103.12992.pdf,Autoencoder,Image,NA,Safety,Real-world,NA,NA,20 min,NA,NA,"AUROC, Detection Latency",NA,NA,NA,,,,,
Real-Time Sensor Anomaly Detection and Recovery in Connected Automated Vehicle Sensors,Y. Wang and N. Masoud and A. Khojandi,https://arxiv.org/pdf/1911.01531.pdf,One Class Support Vector Machine,Environment Sensors,NA,Both,Real-world,"Randomly added anomalies to normal trajectory data. Inject four types: short, noise, bias, and gradual drift. Research data exchange dataset",Random injections,NA,NA,NA,AUC,NA,SPMD,NA,,https://catalog.data.gov/dataset/safety-pilot-model-deployment-data,AUC 0.9806,,
Detecting Vehicle Anomaly in the Edge via Sensor Consistency and Frequency Characteristic,F. Guo and Z. Wang and S. Du and H. Li and H. Zhu and Q. Pei and Z. Cao and J. Zhao,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8675434,Edge Computing Based Vehicle Anomaly Detection (EVAD),Vehicle Sensors,NA,Security,Real-world,"Anomaly data was created to simulate scenarios such as sensor inaccuracies, wireless message injection attacks, and false messages reported by hijacked sensors",Random injections,"223GB, no mentions of number of anomalies",NA,NA,"FPR, Recall",31.7ms,Open Sourcing 223 GB of Driving Data,NA,,https://github.com/udacity/self-driving-car,"R 0.995, FPR 0.01",,
An Intelligent Secured Framework for Cyberattack Detection in Electric Vehicles' CAN Bus Using Machine Learning,O. Avatefipour and A. S. Al-Sumaiti and A. M. El-Sherbeeny and E. M. Awwad and M. A. Elmeligy and M. A. Mohamed and H. Malik,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8813023,"One Class Support Vector Machine, Modified Bat Algorithm",CAN,NA,Security,Real-world,Anomalies were injected by the authors.,Attacking while recording the log,"The authors uses three datasets. One dataset includes 2,369,868 attack free states CAN message and 656,579 messages where DoS attacked was launched. No information about the other two datasets. ",NA,NA,"Recall, FPR, FNR, Precision",NA,"OTIDS, Crash Reconstruction Research Consortium",NA,,https://www.engr.colostate.edu/~jdaily/tucrrc/index.html,"R 0.9701, FNR 0.0299, FPR 0.0645, TNR 0.9355",,
